"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Colorless, pale sky-blue, pale pink, lilac","Sulfates","Kogarkoite","Mineral","Sulfate","Monoclinic, pseudorhombohedral Space group: P21/m","Kogarkoite",,"Monoclinic","Biaxial (+)","07.BD.15","a = 18.07 \u00c5, b = 6.94 \u00c5, c = 11.44 \u00c5; \u03b2 = 107.72\u00b0; Z=12","Na<sub>3</sub>(SO<sub>4</sub>)F","White","Transparent to translucent","3.5","Vitreous to dull","240px-Kogarkoite_-_Poudrette_quarry%2C_Mont_Saint-Hilaire%2C_Quebec%2C_Canada.jpg","n\u03b1 = 1.439 n\u03b2 = 1.439 n\u03b3 = 1.442","Tabular crystals, granular, earthy aggregates","2.66"
,"Phosphates","Kolbeckite","Mineral","Phosphate",,"Light-green spherical aggregates of microcrystals of Kolbeckite, to just over 1mm in size. Locality: Schlarbaum quarry, Klause, Bad Gleichenberg, Styria, Austria. Size: 4.9 x 3.9 x 2.3 cm.",,,,"08.CD.05",,"ScPO<sub>4</sub>\u00b7<sub>2</sub>H<sub>2</sub>O",,,,,"240px-Kolbeckite-215064.jpg",,,
"Colorless, white, grey, greenish, bluish, brown, black","Silicates","Kornerupine","Mineral","Borosilicates","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: C mcm","","Good on {110}","Orthorhombic","Biaxial (-)","09.BJ.50VIII/B.31-10 (8 ed)","a = 15.99 \u00c5, b = 13.7 \u00c5, c = 6.7 \u00c5; Z=4","(Mg,Fe<sub>2</sub>+)<sub>4</sub>(Al,Fe<sub>3</sub>+)<sub>6</sub>(SiO<sub>4</sub>,BO<sub>4</sub>)<sub>5</sub>(O,OH)<sub>2</sub>","White","Transparent to translucent and opaque","6 to 7","Vitreous","240px-Kornerupine-162065.jpg","n\u03b1 = 1.660 - 1.671 n\u03b2 = 1.673 - 1.683 n\u03b3 = 1.674 - 1.684","Prismatic crystals, radiating, massive, fibrous","3.29 - 3.35"
"Colourless,pink, red, red-orange or brown; light rose-pink in transmitted light","Arsenates","K\u00f6ttigite","Mineral","Arsenate",,"K\u00f6ttigite from Mapim\u00ed, Mexico","Perfect on {010}","Monoclinic 2/m space group C2/m","Biaxial (+)","8.CE.40 (10 ed.) VII/C.13-90 (8 ed.)",,"<sub>618</sub>.<sub>13</sub>g","Reddish-white to white","Translucent","2\u00bd to 3","Resinous or waxy, silky on fracture","240px-Kottigite-152445.jpg","n\u03b1 = 1.622, n\u03b2 = 1.638, n\u03b3 = 1.671","Crystals prismatic  and flattened {010}. Also in crusts with a crystalline surface and fibrous structure","3.33"
"Translucent white to pale blue to bright pink","Phosphates","Kovdorskite","Mineral","Phosphate","Monoclinic prismatic,H-M symbol: (2/m),space group P21/a","Photograph of kovdorskite from Kovdor Massif, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia.",,"Monoclinic","Biaxial (-)","08.DC.22","a = 10.35 \u00c5, b = 12.90 \u00c5 c = 4.73 \u00c5, Z = 4","Mg<sub>2</sub>PO<sub>4</sub>(OH)\u00b7<sub>3</sub>H<sub>2</sub>O",,,"4","Vitreous","240px-Kovdorskite_R060579_Sample_Photo_6834_M.jpg","n\u03b1 = 1.527 n\u03b2 = 1.542 n\u03b3 = 1.549","Rough prismatic","2.28 (measured), 2.30 (calculated)"
"White to blackish yellow","Other","Krennerite","Mineral","Telluride",,"Krennerite from the Cresson Mine, Cripple Creek, Colorado. About 5 mm.","Perfect","Orthorhombic - Pyramidal","Anisotrophic","02.EA.15",,"<sub>453</sub>.<sub>2</sub>","greenish grey","opaque","2.5","Metallic","240px-Krennerite-118304.jpg",,"Massive to crystalline",
"Beige to white","Other","Krieselite","Mineral","",,"Krieselite, from Tsumeb, Namibia",,"Orthorhombic","Biaxial","09.AF.35",,"<sub>230</sub>.<sub>81</sub> gm","White",,"5\u00bd - 6\u00bd","Greasy","240px-Krieselite.jpg","NCalc= 1.81","Isotypic with topaz",
"Blue, dark sky blue, greenish blue, yellowish green","Sulfates","Kr\u00f6hnkite","Mineral","Sulfate","Monoclinic 2/m - prismatic","Kr\u00f6hnkite with unique blue-green crystals in center from Chuquicamata Mine, Chile (size:3.0 x 1.6 x 1.5\u00a0cm)","Perfect {010}, good (011), very imperfect {101}","Monoclinic space group P21/c","Biaxial (-)",,"a = 5.78 \u00c5, b = 12.58 \u00c5, c = 5.48 \u00c5; \u03b2 = 108.3\u00b0; Z = 2","Na<sub>2</sub>Cu(SO<sub>4</sub>)<sub>2</sub>\u2022<sub>2</sub>H<sub>2</sub>O","White","Transparent","2.5 \u2013 3.0","Vitreous","240px-Krohnkite-177531.jpg","n\u03b1 = 1.544 n\u03b2 = 1.578 n\u03b3 = 1.601","Encrustations (on matrix), fibrous, massive","2.92"
"White; colorless in transmitted light","Borates","Kurnakovite","Mineral","Nesoborates","Triclinic 1 pinacoidal","Kurnakovite from Boron, California","Poor to indistinct on {010}","Triclinic","Biaxial (-)","06.CA.20","a = 8.3479(1) \u00c5, b = 10.6068(1) \u00c5, c = 6.4447(1) \u00c5; \u03b1 = 98.846\u00b0, \u03b2 = 108.981\u00b0, \u03b3 = 105.581\u00b0; Z = 2","MgB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>\u00b7<sub>5</sub>H<sub>2</sub>O","White","Transparent to translucent","2\u00bd - 3","Vitreous","240px-Kurnakovite.jpg","n\u03b1 = 1.488 - 1.491 n\u03b2 = 1.508 - 1.510 n\u03b3 = 1.515 - 1.525","Aggregates of prismatic crystals","1.847 - 1.852"
"White, pale pink or light brown","Carbonates","Kutnohorite","Mineral","Carbonate",,"Kutnohorite, Wessels Mine, Kalahari manganese fields, Northern Cape Province, South Africa. Size 4.4 x 4.2 x 1.9 cm","Perfect on {1011}","Trigonal 3","Uniaxial (\u2013)","05.AB.10",,"<sub>215</sub>.<sub>0</sub> g (end member)","White to pale pink","Translucent","3\u00bd to 4","Vitreous to dull","240px-Kutnohorite-120661.jpg","No = 1.727, Ne = 1.535No = 1.710 to 1.727, Ne = 1.519 to 1.535","Aggregates of bundled bladed crystals","3.12"
"Blue, white, rarely green, gray, yellow, pink, orange, and black, can be zoned","Silicates","Kyanite","Mineral","Nesosilicate","Triclinic pinacoidal H\u2013M Symbol: 1 Space group: P1",""," perfect  imperfect with 79\u00b0 angle between","Triclinic","Biaxial (-)","09.AF.15","a = 7.1262(12)\u00a0\u00c5,b = 7.852(10)\u00a0\u00c5,c = 5.5724(10)\u00a0\u00c5\u03b1 = 89.99(2)\u00b0, \u03b2 = 101.11(2)\u00b0, \u03b3 = 106.03(1)\u00b0Z = 4","Al<sub>2</sub>SiO<sub>5</sub>","White","Transparent to translucent","4.5-5 parallel to one axis6.5-7 perpendicular to that axis","Vitreous to pearly","240px-Kyanite_crystals.jpg","n\u03b1 = 1.712 - 1.718 n\u03b2 = 1.720 - 1.725 n\u03b3 = 1.727 - 1.734","Columnar; fibrous; bladed","3.53 - 3.65 measured; 3.67 calculated"
"Gray, brown, greenish, blue, yellow, colorless","Silicates","Labradorite","Mineral","Feldspar, tectosilicate","Triclinic pinacoidal 1","Labradorite in a polished rock slab","Perfect on {001}, less perfect on {010}, intersecting at near 90\u00b0; distinct on {110}","Triclinic","Biaxial (+)",,"a = 8.155 \u00c5, b = 12.84 \u00c5, c = 10.16 \u00c5; \u03b1 = 93.5\u00b0, \u03b2 = 116.25\u00b0, \u03b3 = 89.133\u00b0; Z = 6","(Ca,Na)(Al,Si)<sub>4</sub>O<sub>8</sub>, where Ca/(Ca + Na) (% anorthite) is between <sub>50</sub>%\u2013<sub>70</sub>%","white","Translucent to transparent","6 \u2013 6.5","Vitreous to pearly on cleavages","240px-Labradorite.jpg","n\u03b1 = 1.554 - 1.563 n\u03b2 = 1.559 - 1.568 n\u03b3 = 1.562 - 1.573","Crystals typically thin and tabular, rhombic in cross section, striated; massive","2.68 to 2.72"
,"Sulfates","Lanarkite","Mineral","Sulfate",,"Lanarkite, from Leadhills, South Lanarkshire, Scotland UK, the type locality.",,,,"07.BD.40",,"Pb<sub>2</sub>(SO<sub>4</sub>)O",,,,,"240px-Lanarkite-153362.jpg",,,
"Colorless with pale shades of yellow, pink, red, green, gray","Sulfates","Langbeinite","Mineral","Sulfate","Isometric tetartoidalH-M symbol: (2 3)Space group: P 213","Langbeinite in the History Museum, Truskavets",,"Cubic","Isotropic","07.AC.10","a = 9.92 \u00c5; Z=4","K<sub>2</sub>Mg<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>",,"Transparent","3.5 - 4","Vitreous","240px-History_museum_of_Truskavets_086.jpg","n = 1.5329\u20131.5347","As nodules, disseminated grains, bedded massive","2.83"
"Greenish blue, sky-blue to bluish green","Other","Langite","Mineral","Copper","Monoclinic domaticH-M symbol: (m)Space group: Pc","Langite from Podlipa and Reinera Mines, Slovakia","{001} perfect, {010} distinct","Monoclinic","Biaxial (-) r>v weak","07.DD.10","a = 7.118 \u00c5, b = 6.031 \u00c5, c = 11.209 \u00c5; \u03b2 = 90.00\u221290.02\u00b0; Z = 2","<sub>488</sub>.<sub>32</sub> g","Blue green","Translucent","2.5 to 3","Vitreous, crusts silky","240px-Langite-120989.jpg","n\u03b1 = 1.708 n\u03b2 = 1.760 n\u03b3 = 1.798 ","Crystals scaly, or as crusts; earthy","3.28 3.48 to 3.5 3.5 2.28 to 3.34"
"Pale pink to purple","Carbonates","Lanthanite-(La), Lanthanite-(Nd), Lanthanite-(Ce)","Mineral","Carbonate","Orthorhombic, H-M symbol (2/m 2/m 2/m), space group Pbnb","Lanthanite-(Nd) from Mitsukoshi, Hizen-cho, Karatsu City, Saga Prefecture, Japan.","Micaceous, perfect on {101}",,"Biaxial (-)","05.CC.25","a = 9.476(4)-9.483(6) \u00c5, b = 16.940(8)-16.938(11)\u00c5, c = 8.942(4)-8.965(3) \u00c5, Z = 4","(REE)<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>\u00b7<sub>8</sub>(H<sub>2</sub>O)","White",,"~2.5","Vitreous to pearly","240px-LanthaniteNd_R060993_Sample_Photo_10941_M.jpg",,"Platy",
"White, colorless, yellowish, brownish,","Silicates","Laumontite","Mineral","Tectosilicate - Zeolite group",,"","Perfect, two directions",,,,,,,,"4",,"240px-Laumontita.jpg",,,
"Colorless, white","Halides","Laurionite","Mineral","Halide","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: Pnam","Laurionite crystals in a vug from the Laurium district of Greece","Distinct on {101}","Orthorhombic","Biaxial (-)","3.DC.05","a = 7.111 \u00c5, b = 9.6987 \u00c5, c = 4.0203 \u00c5; Z=4","PbCl(OH)","White","Transparent","3 - 3.5","Adamantine, pearly","240px-Laurionite-154998.jpg","n\u03b1 = 2.077 n\u03b2 = 2.116 n\u03b3 = 2.158","Elongated tabular prismatic crystals","6.241"
,"Arsenates","Lavendulan","Mineral","Arsenate",,"Intense blue lavendulan with green cornwallite on matrix. The circlet of lavendulan is about 0.5 cm across. Locality: Dolores prospect, Pastrana, Region of Murcia, Spain.","Good on {010}, distinct on {100} and {001}","Monoclinic 2/m, pseudo orthorhombic Space group P21/n","Biaxial (-), nearly uniaxial (\u2013)","08.DG.05",,"<sub>1</sub>,<sub>062</sub>.<sub>00</sub> gm","Light blue","Translucent","2\u00bd 2\u00bd to 3","Vitreous to waxy, satiny in aggregates","240px-Lavendulan-Cornwallite-253920.jpg","Nx = 1.645 Ny = 1.715 Nz = 1.725Nx = 1.660 Ny = 1.715 Nz = 1.734Nx = 1.66 Ny = 1.715 Nz = 1.734omega = 1.748 epsilon = 1.645","Thin botryoidal crusts of minute radiating fibers or thin rectangular, pseudo-orthorhombic plates","3.54 3.84"
"Colorless, white, pale blue to grayish blue","Silicates","Lawsonite","Mineral","Sorosilicate","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: Ccmm","Sample from the type locality in California with two elongated, lustrous and translucent crystals of pastel pink, lawsonite in mica schist (size: 6.1 x 3.2 x 2.5 cm)","Perfect on {100} and {010}, imperfect on {101}","Orthorhombic","Biaxial (+)","09.BE.05","a = 5.847 \u00c5, b = 8.79 \u00c5, c = 13.128 \u00c5; Z = 4","CaAl<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>\u00b7H<sub>2</sub>O","White","Translucent","7.5","Vitreous, greasy","240px-Lawsonite-169898.jpg","n\u03b1 = 1.665 n\u03b2 = 1.672 - 1.676 n\u03b3 = 1.684 - 1.686","Commonly prismatic, tabular; also granular, massive","= 3.05 - 3.12"
"Azure-blue, sky-blue, bluish white, yellow-green, blue-green, rarely green","Phosphates","Lazulite","Mineral","Phosphate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/c","Lazulite, Near Rapid Creek, Yukon, Canada","Poor to good on {110}, indistinct on {101}","Monoclinic","Biaxial (-)","08.BB.40","a = 7.144(1) \u00c5, b = 7.278(1) \u00c5, c = 7.228(1) \u00c5; \u03b2 = 120.5(1)\u00b0; Z=2","(Mg,Fe<sub>2</sub>+)Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","White","Transparent to translucent to nearly opaque","5.5 - 6.0","Vitreous","240px-Lazulite-tmix07-168a.jpg","n\u03b1 = 1.604 - 1.626 n\u03b2 = 1.626 - 1.654 n\u03b3 = 1.637 - 1.663","Tabular, acute to stubby bipyramidal crystals; granular, massive","3.122 \u2013 3.240"
"Deep blue, azure, violet-blue, greenish blue","Silicates","Lazurite","Mineral","Tectosilicate","Cubic hexoctahedral 43m","Lazurite, Ladjuar Medam (Lajur Madan; Lapis-lazuli Mine), Sar-e-Sang District, Koksha Valley (Kokscha; Kokcha), Badakhshan (Badakshan; Badahsan) Province, Afghanistan","Imperfect on {110}","Isometric","Isotropic; anomalously anisotropic","9.FB.10","a = 9.09 \u00c5; Z = 1","(Na,Ca)<sub>8</sub>[(S,Cl,SO<sub>4</sub>,OH)<sub>2</sub>|(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)]",,"Translucent to opaque","5\u20135.5","Vitreous","240px-Lazurite.jpg","1.502\u20131.522","Crystals occur as dodecahedra, or rarely cubes; granular, disseminated, or massive","2.38\u20132.45"
,"Carbonates","Leadhillite","Mineral","Carbonate","Monoclinic prismaticH-M symbol: (2/m)Space group: P21/a","Thin crystals of transparent leadhillite, inside a vug of galena which seems to be partially altered to cerussite. From the type locality, Leadhills, South Lanarkshire, Scotland. Size: 5.3 x 5.1 x 4.4 cm.","Perfect on {001}","Monoclinic","Biaxial (-)","05.BF.40","a = 9.11 \u00c5, b = 20.82 \u00c5, c = 11.59 \u00c5; \u03b2 = 90.46\u00b0","<sub>1</sub>,<sub>078</sub>.<sub>90</sub> g","White","Transparent to translucent","2\u00bd to 3","Adamantine, resinous, pearly","240px-Leadhillite-189253.jpg","n\u03b1 = 1.87, n\u03b2 = 2.00, n\u03b3 = 2.01","Usually pseudo-hexagonal, thin to thick tabular {001} with hexagonal outline","6.55"
"Bright yellow, wax-yellow, colorless","Arsenates","Legrandite","Mineral","Arsenate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/c","Yellow radiating prismatic crystals on limonite, from Ojuela Mine, Mun. de Mapim\u00ed, Durango, Mexico. Large crystal is 1.4 cm. long.","Imperfect, poor one {100}","Monoclinic","Biaxial (+)","08.DC.10","a = 12.805(2) \u00c5, b = 7.933(1) \u00c5, c = 10.215(2) \u00c5; \u03b2 = 104.23\u00b0; Z=8","Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)\u00b7(H<sub>2</sub>O)","White","Transparent to translucent","4.5-5","Vitreous","240px-LegranditeMexique.jpg","n\u03b1 = 1.675 - 1.702 n\u03b2 = 1.690 - 1.709 n\u03b3 = 1.735 - 1.740","Crystalline, prismatic, typically in sprays or sheaflike aggregates","3.98\u20134.01"
"white, colourless to pale violet","Silicates","Leifite","Mineral","Silicate",,"Leifite from Mont Saint-Hilaire, Canada","Distinct on {1010} ","Trigonal 3 2/m","Uniaxial (+)","8/J.10-10 or 9.EH.25",,"<sub>425</sub>.<sub>47</sub> g ","White","Transparent to translucent","6","Silky to vitreous","240px-Leifite_2951-03.jpg","n\u03c9 = 1.516 and n\u03b5 = 1.520.","Typically radiating aggregates of fine needles","2.6"
"Pale blue, greenish-blue; pale blue in transmitted light.","Sulfates","Leightonite","Mineral","Sulfate",,"Leightonite","None observed","Triclinic (pseudo-orthorhombic)","Biaxial (-)","07.CC.70",,"K<sub>2</sub>Ca<sub>2</sub>Cu(SO<sub>4</sub>)<sub>4</sub>\u2022<sub>2</sub>H<sub>2</sub>O",,"Transparent, translucent","3","Vitreous","240px-Leightonite-120493.jpg","n\u03b1 = 1.578 n\u03b2 = 1.587 n\u03b3 = 1.595","Lathlike crystals, flattened, elongated or equant","2.95"
"Ruby-red to reddish brown; light reddish to red-orange in transmitted light; gray-white in reflected light","Oxides","Lepidocrocite","Mineral","Oxide","Orthorhombic (2/m 2/m 2/m) - dipyramidal","A sample of lepidocrocite","{010} Perfect","orthorhombic","Biaxial (-)","04.FE.15","a = 3.88 \u00c5, b = 12.54 \u00c5, c = 3.07 \u00c5; Z = 4","<sub>88</sub>.<sub>85</sub>","Dull orange","Transparent","5","sub metallic","240px-Mineraly.sk_-_lepidokrokit.jpg","n\u03b1 = 1.940 n\u03b2 = 2.200 n\u03b3 = 2.510","Flattened scales aggregated into plumose groups and rosettes; massive, bladed to fibrous or micaceous","4"
"Pink, purple, rose-red, violet-gray, yellowish, white, colorless","Silicates","Lepidolite","Mineral","Silicate","Monoclinic H-M symbol: 2/mSpace group: C 2/m,Cm","Lepidolite, Virgem da Lapa, Minas Gerais, Brazil (size 2.4 x 2.1 x 0.7 cm)","{001} perfect","Monoclinic","Biaxial (-)","09.EC.20","a = 5.209(2) \u00c5 b = 9.011(5) \u00c5c = 10.149(5) \u00c5;\u03b2 = 100:77(4)\u00b0; Z = 2","K(Li,Al)<sub>3</sub>(Al,Si,Rb)<sub>4</sub>O<sub>10</sub>(F,OH)<sub>2</sub>","White","Transparent to translucent","2.5\u20133","Vitreous to pearly","240px-Lepidolite-76774.jpg","n\u03b1=1.525\u20131.548, n\u03b2=1.551\u20131.58, n\u03b3=1.554\u20131.586","Tabular to prismatic pseudohexagonal crystals, scaly aggregates and massive","2.8\u20132.9"
"White to grey","Silicates","Leucite","Mineral","tectosilicates","Tetragonal 4/m dipyramidal","Leucite crystals in a rock from Italy","Poor on {110}","Tetragonal","Uniaxial (+)","9.GB.05","a = 13.056 \u00c5, c = 13.751 \u00c5; Z = 16","K[AlSi<sub>2</sub>O<sub>6</sub>]",,"Transparent to translucent","5.5 - 6","Vitreous","240px-Leucite_in_rock_w-_nepheline_Potassium_aluminum_silicate_Albano_Hills_Italy_1927.jpg","n\u03c9 = 1.508 n\u03b5 = 1.509","Commonly as euhedral, pseudocubic crystals; rarely granular, massive","2.45-2.50"
,"Silicates","Leucophoenicite","Mineral","Nesosilicates","Space group: P21/aPoint group: 2/m","Leucophoenicite from the Wessels Mine in Kuruman, South Africa.","Imperfect on {001}","Monoclinic","Biaxial (-)","9.AF.60","a = 10.84\u00c5b = 4.82\u00c5c = 11.32\u00c5\u03b2 = 103.93\u00b0","Mn<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>",,"Transparent to translucent","5.5 to 6","Vitreous","240px-Leucophoenicite.jpg","n\u03b1 = 1.751n\u03b2 = 1.771n\u03b3 = 1.782",,
,"Other","L\u00e9vyne","Mineral","Zeolite",,"L\u00e9vyne",,,,"09.GD.15",,,,,,,"240px-LEVYNE_Oregon_3138.jpg",,,
"Light to dark green, blackish green, olive-green","Phosphates","Libethenite","Mineral","Phosphate",,"Libethenite, Wheal Phoenix, Linkinhorne, Cornwall, England. Size: 5.0 x 4.9 x 2.8 cm.","Indistinct on  and ","Orthorhombic","Biaxial (-)","08.BB.30",,"Cu<sub>2</sub>PO<sub>4</sub>OH","light green",,"4","Vitreous, greasy","240px-Libethenite-221046.jpg","n\u03b1 = 1.701 - 1.704 n\u03b2 = 1.743 - 1.747 n\u03b3 = 1.787 - 1.790","Globular, druzy, slender prismatic","3.6 - 4, Average = 3.8"
,"Carbonates","Liebigite","Mineral","Carbonate","Orthorhombic pyramidalH-M symbol: (mm2)Space group: Bba2","Liebigite crystals from the Ralston Buttes District, Jefferson County, Colorado","Distinct on {100}","Orthorhombic","Biaxial (+)","05.ED.20","a = 16.699 \u00c5, b = 17.557 \u00c5, c = 13.697 \u00c5; Z=8","Ca<sub>2</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>\u00b7<sub>11</sub>H<sub>2</sub>O",,"Transparent, translucent","2\u00bd - 3","Vitreous, pearly","240px-Liebigite-171838.jpg","n\u03b1 = 1.497 n\u03b2 = 1.502 n\u03b3 = 1.539","Rare as short prismatic crystals; scaly or granular, in aggregates, crusts, and films","2.41"
"Deep azure blue","Sulfates","Linarite","Mineral","Sulfate","Monoclinic 2/m prismatic","Linarite, from La Carolina District, Linares, Ja\u00e9n, Andalusia, Spain, the type locality. Picture width 1.5 mm","Perfect on {100}, imperfect on {001}","Monoclinic","Biaxial (-)","07.BC.65","a = 9.701(2) \u00c5, b = 5.65 \u00c5, c = 4.69 \u00c5; \u03b2 = 102.65\u00b0; Z = 2","PbCu[(OH)<sub>2</sub>|SO<sub>4</sub>]","Pale blue","Transparent, translucent","2.5","Sub-adamantine, vitreous","240px-Linarite-269083.jpg","n\u03b1 = 1.809 n\u03b2 = 1.838 n\u03b3 = 1.859","Crystals elongated and tabular; in crusts and aggregates","5.3 - 5.5"
"Green to yellowish green","Other","Lindgrenite","Mineral","Molybdate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/n","Lindgrenite specimen from the San Samuel Mine of the Cachiyuyo de Llampos district, Copiap\u00f3 Province, Atacama Region, Chile (field of view 4 mm)","Perfect on {010} and {101}, poor on {100}","Monoclinic","Biaxial (-)","7.GB.05","a = 5.394 \u00c5, b = 14.023 \u00c5, c = 5.608 \u00c5; \u03b2 = 98.5\u00b0; Z=2","Cu<sub>3</sub>(MoO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>","Pale green","Transparent","4.5","Greasey","240px-Lindgrenite-107037.jpg","n\u03b1 = 1.930 n\u03b2 = 2.002 n\u03b3 = 2.020","Tabular to platey crystals, may be acicular, massive or crust forming","4.2"
"Steel gray to gray violet","Sulfides","Linnaeite","Mineral","SulfideThiospinel groupSpinel structural group","Isometric hexoctahedralH-M symbol: (4/m32/m)Space group: F d3m","Linnaeite samples and polished section","Imperfect on {001}","Cubic",,"02.DA.05","a = 9.43 \u00c5; Z=8","Co+<sub>2</sub>Co+<sub>32</sub>S<sub>4</sub>","Grayish-black","Opaque","4.5-5.5","Metallic","240px-Linnaeite_-_USGS_Mineral_Specimens_722.jpg",,"As octahedral crystals; massive, granular","4.8-5.8"
"Green gray, olive green, black.","Phosphates","Lipscombite","Mineral","Phosphate",,"Lipscombite: Small green crystals on quartz, Harvard Museum of Natural History",,"Tetragonal","Translucent to opaque","08.BB.90","a = 5.37\u00a0\u00c5, c = 12.81\u00a0\u00c5","<sub>391</sub>.<sub>27</sub>\u00a0g",,,,,"240px-Lipscomb_lipscombite_peabody.jpg",,,"3.68"
"Bright blue to green","Arsenates","Liroconite","Mineral","Arsenate","Monoclinic prismatic (2/m)","Liroconite crystals to 0.75 cm in a quartz vug, from Wheal Gorland, the type locality.","Indistinct on {110} and {011}","Monoclinic","Biaxial (-)","08.DF.20","a = 12.66 \u00c5, b = 7.57 \u00c5, c = 9.89 \u00c5; \u03b2 = 91.25\u00b0; Z = 4","Cu<sub>2</sub>Al[(OH)<sub>4</sub>|AsO<sub>4</sub>]\u00b7<sub>4</sub>(H<sub>2</sub>O)","Light blue","Transparent, translucent","2-2\u00bd","Vitreous to resinous","240px-Liroconite-t07-41b.jpg","n\u03b1 = 1.612 n\u03b2 = 1.652 n\u03b3 = 1.675","Typically as striated flattened octahedral or lenticular crystals, also massive to granular","2.9 - 3"
